run	enabled	calibrate	applied	iter	final	free_radius	static_bound	n_calib	drift_p50	drift_p75	drift_p90	drift_p95	drift_max	rows_meas	ctl_rows	ctl_p75	ctl_p90	ctl_p95	scale_p50	scale_p90	volume	teleports	errors
F_frac10_1	True	True	29999	30000	True	0.0032547202426940203	0.006571843737675345	11	0.002055521821603179	0.0027389334281906486	0.003103988990187645	0.0031763338949531315	4.367045879364014	5741499	638608	0.0035542057594284415	0.004934104997664691	0.006112415855750442	0.0014430868905037642	0.006317692156881106	300.9689655894878	1930037	0
F_frac10_2	True	True	29999	30000	True	0.0032642451114952564	0.006571843737675345	11	0.002062971470877528	0.002748185070231557	0.0031166216358542442	0.003195031313225627	6.834083080291748	5734833	637950	0.0035712994285859168	0.0049544139765203	0.006133821792900561	0.001444793539121747	0.006309329811483623	319.6528088201356	1936272	0
F_q50_1	True	True	29999	30000	True	0.002448067534714937	0.006571611691771761	11	0.0018043711315840483	0.0022799649741500616	0.002443923382088542	0.002448825631290674	1.7048097848892212	6250525	128382	0.0036852520424872637	0.005131037626415498	0.006414439086802303	0.001449264818802476	0.0063964203000068665	301.40994835530154	1947130	0
F_q50_2	True	True	29999	30000	True	0.0024181820917874575	0.006571843737675345	11	0.0017827568808570504	0.0022548617562279105	0.0024142381735146046	0.00241897557862103	2.39790415763855	6235683	128317	0.003654479281976819	0.005091450084000828	0.006320812646299599	0.0014473225455731153	0.006422733888030063	315.1019901923365	1959936	0
F_q60_1	True	True	29999	30000	True	0.002857412677258253	0.006571843737675345	11	0.001939153647981584	0.002518835128284991	0.0027586261741817	0.0028260306338779625	1.5103996992111206	6250700	127878	0.003635959525126964	0.00506686856970191	0.006301050726324319	0.0014468342997133732	0.006370339961722503	312.55213772216456	1940632	0
F_q60_1_oldbuild	True	True	29999	30000	True	0.002755677793174982	0.006571980011420551	10	0.0019387288484722376	0.0025199712254107	0.002749271458014846	0.002756079426035285	1.7911183834075928	6250933	127965	0.0036214913707226515	0.005037728697061539	0.006277173943817615	0.0014458647929131985	0.006376921338960532	292.0324571021097	1941949	0
F_q60_2	True	True	29999	30000	True	0.0028596208430826664	0.006571843737675345	11	0.0019308659248054028	0.0025093923904933035	0.002726817037910223	0.002751133171841502	1.5885223150253296	6253880	128194	0.003621378738898784	0.005043006082996726	0.006290928809903561	0.0014453043695539236	0.006380871869623661	284.028621283748	1941076	0
F_start5k_1	True	True	29999	30000	True	0.003170792944729328	0.006571843737675345	4	0.0022056291345506907	0.002828149823471904	0.003142663883045316	0.003169528441503644	1.5072004795074463	6198485	127528	0.003524036321323365	0.004894365277141333	0.0060749754076823564	0.001454092445783317	0.006365571310743693	319.1572110216508	1987772	0
F_start5k_2	True	True	29999	30000	True	0.0031588796991854906	0.006571276302488365	4	0.002195362700149417	0.0028175748884677887	0.0031313231680542234	0.00315768551081419	2.164473533630371	6212675	127888	0.00350310088833794	0.004856499191373588	0.00600580081809312	0.0014552070060744882	0.006350533105432987	317.67620251914195	1970760	0
G_hi_diag_1	True	True	29999	30000	True	0.0038188165053725243	0.006571843737675345	8	0.0025556160835549235	0.0033573476830497384	0.0037864961195737123	0.003816456301137805	2.087675094604492	5390906	109576	0.004270837875083089	0.005985055584460497	0.007627521408721805	0.0011568986810743809	0.004890073090791702	751.0201426076476	12990240	0
